"fecha";"nombre_experimento";"categoria";"id_request";"request";"request_response";"tipo_resultado";"resultado_esperado";"resultado_obtenido";"LOGIN_LIMITER_MAX"
"2024-03-16 13:04:33.886654";"experimento_confidencialidad_005_login_bots";"confidencialidad";"1";"{""username"": ""dgamez@gmail.com"", ""password"": ""Password1!"", ""code"": ""7378""}{""User-Agent"": ""Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.888461";"experimento_confidencialidad_005_login_bots";"confidencialidad";"2";"{""username"": ""maria@gmail.com"", ""password"": ""Password1!"", ""code"": ""4824""}{""User-Agent"": ""Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.890057";"experimento_confidencialidad_005_login_bots";"confidencialidad";"3";"{""username"": ""robert@gmail.com"", ""password"": ""Password1!"", ""code"": ""4999""}{""User-Agent"": ""Googlebot/2.1 (+http://www.google.com/bot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.891555";"experimento_confidencialidad_005_login_bots";"confidencialidad";"4";"{""username"": ""dgamez@gmail.com"", ""password"": ""Password1!"", ""code"": ""9364""}{""User-Agent"": ""Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.893035";"experimento_confidencialidad_005_login_bots";"confidencialidad";"5";"{""username"": ""robert@gmail.com"", ""password"": ""Password1!"", ""code"": ""6680""}{""User-Agent"": ""DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.894485";"experimento_confidencialidad_005_login_bots";"confidencialidad";"6";"{""username"": ""maria@gmail.com"", ""password"": ""Password1!"", ""code"": ""5368""}{""User-Agent"": ""Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.895893";"experimento_confidencialidad_005_login_bots";"confidencialidad";"7";"{""username"": ""maria@gmail.com"", ""password"": ""Password1!"", ""code"": ""5385""}{""User-Agent"": ""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.897293";"experimento_confidencialidad_005_login_bots";"confidencialidad";"8";"{""username"": ""robert@gmail.com"", ""password"": ""Password1!"", ""code"": ""0102""}{""User-Agent"": ""DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.898692";"experimento_confidencialidad_005_login_bots";"confidencialidad";"9";"{""username"": ""jhon@gmail.com"", ""password"": ""Password1!"", ""code"": ""7973""}{""User-Agent"": ""DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.900090";"experimento_confidencialidad_005_login_bots";"confidencialidad";"10";"{""username"": ""robert@gmail.com"", ""password"": ""Password1!"", ""code"": ""1567""}{""User-Agent"": ""Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.901623";"experimento_confidencialidad_005_login_bots";"confidencialidad";"11";"{""username"": ""dgamez@gmail.com"", ""password"": ""Password1!"", ""code"": ""1601""}{""User-Agent"": ""DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.903235";"experimento_confidencialidad_005_login_bots";"confidencialidad";"12";"{""username"": ""jhon@gmail.com"", ""password"": ""Password1!"", ""code"": ""3593""}{""User-Agent"": ""Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.904766";"experimento_confidencialidad_005_login_bots";"confidencialidad";"13";"{""username"": ""dgamez@gmail.com"", ""password"": ""Password1!"", ""code"": ""9001""}{""User-Agent"": ""Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.906233";"experimento_confidencialidad_005_login_bots";"confidencialidad";"14";"{""username"": ""dgamez@gmail.com"", ""password"": ""Password1!"", ""code"": ""9431""}{""User-Agent"": ""Googlebot/2.1 (+http://www.google.com/bot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.907720";"experimento_confidencialidad_005_login_bots";"confidencialidad";"15";"{""username"": ""jhon@gmail.com"", ""password"": ""Password1!"", ""code"": ""2403""}{""User-Agent"": ""Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.909255";"experimento_confidencialidad_005_login_bots";"confidencialidad";"16";"{""username"": ""maria@gmail.com"", ""password"": ""Password1!"", ""code"": ""5748""}{""User-Agent"": ""Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.911127";"experimento_confidencialidad_005_login_bots";"confidencialidad";"17";"{""username"": ""dgamez@gmail.com"", ""password"": ""Password1!"", ""code"": ""1979""}{""User-Agent"": ""Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.912683";"experimento_confidencialidad_005_login_bots";"confidencialidad";"18";"{""username"": ""maria@gmail.com"", ""password"": ""Password1!"", ""code"": ""7272""}{""User-Agent"": ""DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.914169";"experimento_confidencialidad_005_login_bots";"confidencialidad";"19";"{""username"": ""jhon@gmail.com"", ""password"": ""Password1!"", ""code"": ""4147""}{""User-Agent"": ""Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
"2024-03-16 13:04:33.916144";"experimento_confidencialidad_005_login_bots";"confidencialidad";"20";"{""username"": ""maria@gmail.com"", ""password"": ""Password1!"", ""code"": ""9485""}{""User-Agent"": ""DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)""}";"Acceso denegado para bots";"status_code";"403";"403";"1000"
